"first_day_of_week","all_swabs","all_positives","ct_lt_30","has_sequence_lt_30"
"DateObject[{2020, 4, 26, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",4180.,14.,7.,5.
"DateObject[{2020, 5, 3, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",9342.,25.,12.,3.
"DateObject[{2020, 5, 10, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",14314.,30.,19.,13.
"DateObject[{2020, 5, 17, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",16151.,24.,16.,13.
"DateObject[{2020, 5, 24, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",17972.,19.,12.,10.
"DateObject[{2020, 5, 31, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",19062.,10.,6.,4.
"DateObject[{2020, 6, 7, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",19756.,8.,4.,0.
"DateObject[{2020, 6, 14, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",17805.,12.,5.,2.
"DateObject[{2020, 6, 21, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",17854.,7.,2.,0.
"DateObject[{2020, 6, 28, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",21351.,9.,2.,1.
"DateObject[{2020, 7, 5, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",24185.,10.,1.,0.
"DateObject[{2020, 7, 12, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",22157.,9.,1.,1.
"DateObject[{2020, 7, 19, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",21222.,18.,0.,0.
"DateObject[{2020, 7, 26, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",23327.,10.,0.,0.
"DateObject[{2020, 8, 2, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",26594.,9.,1.,0.
"DateObject[{2020, 8, 9, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",30079.,13.,7.,2.
"DateObject[{2020, 8, 16, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",34333.,18.,9.,9.
"DateObject[{2020, 8, 23, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",42938.,30.,14.,7.
"DateObject[{2020, 8, 30, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",46563.,35.,21.,7.
"DateObject[{2020, 9, 6, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",56675.,86.,64.,22.
"DateObject[{2020, 9, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",66659.,146.,104.,24.
"DateObject[{2020, 9, 20, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",89468.,220.,164.,45.
"DateObject[{2020, 9, 27, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",114371.,510.,367.,189.
"DateObject[{2020, 10, 4, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",125307.,745.,517.,225.
"DateObject[{2020, 10, 11, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",146003.,1056.,706.,239.
"DateObject[{2020, 10, 18, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",125923.,1245.,750.,253.
"DateObject[{2020, 10, 25, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",106858.,1110.,741.,39.
"DateObject[{2020, 11, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",110696.,1250.,743.,155.
"DateObject[{2020, 11, 8, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",114059.,1233.,719.,180.
"DateObject[{2020, 11, 15, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",124520.,1335.,722.,170.
"DateObject[{2020, 11, 22, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",123954.,1019.,485.,134.
"DateObject[{2020, 11, 29, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",110996.,983.,432.,76.
"DateObject[{2020, 12, 6, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",105838.,1101.,567.,175.
"DateObject[{2020, 12, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",116366.,1299.,910.,703.
"DateObject[{2020, 12, 20, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",58377.,959.,682.,440.
"DateObject[{2020, 12, 27, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",93483.,1884.,1173.,647.
"DateObject[{2021, 1, 3, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",114353.,2079.,1334.,1030.
"DateObject[{2021, 1, 10, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",107452.,1971.,928.,813.
"DateObject[{2021, 1, 17, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",114509.,1913.,756.,617.
"DateObject[{2021, 1, 24, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",111689.,1520.,540.,454.
"DateObject[{2021, 1, 31, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",117142.,1364.,536.,384.
"DateObject[{2021, 2, 7, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",118208.,895.,308.,257.
"DateObject[{2021, 2, 14, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",110444.,660.,254.,149.
"DateObject[{2021, 2, 21, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",104835.,417.,177.,151.
"DateObject[{2021, 2, 28, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",102176.,348.,146.,135.
"DateObject[{2021, 3, 7, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",100903.,278.,124.,110.
"DateObject[{2021, 3, 14, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",90595.,257.,95.,94.
"DateObject[{2021, 3, 21, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",86979.,219.,99.,90.
"DateObject[{2021, 3, 28, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",86280.,228.,98.,90.
"DateObject[{2021, 4, 4, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",85204.,136.,59.,53.
"DateObject[{2021, 4, 11, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",75048.,114.,42.,42.
"DateObject[{2021, 4, 18, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",90989.,76.,37.,36.
"DateObject[{2021, 4, 25, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",88880.,69.,31.,28.
"DateObject[{2021, 5, 2, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",91161.,57.,24.,22.
"DateObject[{2021, 5, 9, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",86093.,65.,24.,21.
"DateObject[{2021, 5, 16, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",86490.,73.,37.,30.
"DateObject[{2021, 5, 23, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",92075.,137.,52.,49.
"DateObject[{2021, 5, 30, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",78621.,110.,62.,56.
"DateObject[{2021, 6, 6, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",88591.,142.,74.,73.
"DateObject[{2021, 6, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",88030.,174.,108.,102.
"DateObject[{2021, 6, 20, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",87075.,285.,179.,175.
"DateObject[{2021, 6, 27, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",80796.,402.,264.,259.
"DateObject[{2021, 7, 4, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",92317.,697.,520.,490.
"DateObject[{2021, 7, 11, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",86846.,822.,565.,550.
"DateObject[{2021, 7, 18, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",81659.,917.,667.,647.
"DateObject[{2021, 7, 25, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",85960.,802.,491.,316.
"DateObject[{2021, 8, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",85542.,816.,478.,442.
"DateObject[{2021, 8, 8, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",87056.,826.,498.,406.
"DateObject[{2021, 8, 15, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",86345.,932.,621.,473.
"DateObject[{2021, 8, 22, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",83268.,903.,561.,473.
"DateObject[{2021, 8, 29, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",88366.,983.,632.,506.
"DateObject[{2021, 9, 5, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",90940.,981.,674.,591.
"DateObject[{2021, 9, 12, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",90629.,915.,595.,526.
"DateObject[{2021, 9, 19, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",93658.,1017.,725.,699.
"DateObject[{2021, 9, 26, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",95843.,1160.,873.,810.
"DateObject[{2021, 10, 3, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",97543.,1293.,1003.,957.
"DateObject[{2021, 10, 10, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",97130.,1400.,1167.,1074.
"DateObject[{2021, 10, 17, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",93718.,1566.,1218.,1182.
"DateObject[{2021, 10, 24, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",90386.,1516.,1193.,1110.
"DateObject[{2021, 10, 31, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",98715.,1367.,1046.,997.
"DateObject[{2021, 11, 7, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",98037.,1262.,916.,884.
"DateObject[{2021, 11, 14, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",93400.,1311.,995.,860.
"DateObject[{2021, 11, 21, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",89620.,1310.,937.,881.
"DateObject[{2021, 11, 28, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",87816.,1260.,936.,885.
"DateObject[{2021, 12, 5, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",86427.,1255.,890.,847.
"DateObject[{2021, 12, 12, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",95476.,2046.,1600.,1512.
"DateObject[{2021, 12, 19, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",69236.,2229.,1843.,1806.
"DateObject[{2021, 12, 26, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",61329.,3057.,2605.,2500.
"DateObject[{2022, 1, 2, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",99290.,5372.,4365.,4142.
"DateObject[{2022, 1, 9, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",99308.,4525.,3406.,3194.
"DateObject[{2022, 1, 16, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",94297.,3814.,2890.,2534.
"DateObject[{2022, 1, 23, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",95026.,3929.,2992.,2647.
"DateObject[{2022, 1, 30, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",103264.,4509.,3415.,3055.
"DateObject[{2022, 2, 6, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",101388.,3957.,2889.,2788.
"DateObject[{2022, 2, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",90052.,3073.,2164.,2116.
"DateObject[{2022, 2, 20, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",90703.,2858.,2083.,2011.
"DateObject[{2022, 2, 27, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",85618.,2967.,2216.,2090.
"DateObject[{2022, 3, 6, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",91525.,4134.,3328.,3212.
"DateObject[{2022, 3, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",89265.,5341.,4314.,3940.
"DateObject[{2022, 3, 20, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",88525.,6197.,4942.,4689.
"DateObject[{2022, 3, 27, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",90602.,6477.,5020.,4596.
"DateObject[{2022, 4, 3, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",73188.,4864.,3626.,3349.
"DateObject[{2022, 4, 10, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",76288.,4412.,3215.,3153.
"DateObject[{2022, 4, 17, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",73993.,3144.,2183.,2115.
"DateObject[{2022, 4, 24, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",72237.,2222.,1470.,1356.
"DateObject[{2022, 5, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",66477.,1564.,1020.,968.
"DateObject[{2022, 5, 8, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",68265.,1366.,953.,894.
"DateObject[{2022, 5, 15, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",67718.,1153.,839.,825.
"DateObject[{2022, 5, 22, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",65933.,979.,684.,673.
"DateObject[{2022, 5, 29, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",47191.,848.,637.,618.
"DateObject[{2022, 6, 5, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",62477.,1410.,1153.,1139.
"DateObject[{2022, 6, 12, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",54768.,1543.,1266.,1224.
"DateObject[{2022, 6, 19, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",53105.,2039.,1684.,1664.
"DateObject[{2022, 6, 26, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",52582.,2595.,2127.,1974.
"DateObject[{2022, 7, 3, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",40265.,2417.,1972.,1828.
"DateObject[{2022, 7, 10, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",41320.,2422.,1925.,1852.
"DateObject[{2022, 7, 17, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",65237.,2957.,2143.,1961.
"DateObject[{2022, 7, 24, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",72633.,2443.,1082.,1029.
"DateObject[{2022, 7, 31, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",42142.,1170.,771.,722.
"DateObject[{2022, 8, 7, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",43909.,1101.,665.,497.
"DateObject[{2022, 8, 14, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",60139.,1081.,544.,493.
"DateObject[{2022, 8, 21, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",60272.,925.,425.,384.
"DateObject[{2022, 8, 28, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",62113.,881.,359.,318.
"DateObject[{2022, 9, 4, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",57682.,827.,504.,450.
"DateObject[{2022, 9, 11, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",67953.,1103.,648.,432.
"DateObject[{2022, 9, 18, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",57003.,1262.,975.,877.
"DateObject[{2022, 9, 25, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",52911.,1418.,960.,905.
"DateObject[{2022, 10, 2, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",65794.,2167.,1403.,1334.
"DateObject[{2022, 10, 9, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",65408.,2100.,1453.,1371.
"DateObject[{2022, 10, 16, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",63986.,2072.,1424.,1345.
"DateObject[{2022, 10, 23, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",62052.,1701.,1090.,1026.
"DateObject[{2022, 10, 30, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",64856.,1434.,912.,810.
"DateObject[{2022, 11, 6, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",67981.,1128.,712.,658.
"DateObject[{2022, 11, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",61755.,1019.,665.,496.
"DateObject[{2022, 11, 20, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",54551.,1035.,696.,587.
"DateObject[{2022, 11, 27, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",59585.,1242.,857.,747.
"DateObject[{2022, 12, 4, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",70317.,1659.,1182.,1029.
"DateObject[{2022, 12, 11, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",60967.,2046.,1518.,1359.
"DateObject[{2022, 12, 18, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",60998.,2605.,1929.,1568.
"DateObject[{2022, 12, 25, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",51261.,2346.,1637.,1440.
"DateObject[{2023, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",76579.,2551.,1676.,1475.
"DateObject[{2023, 1, 8, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",74632.,1584.,898.,661.
"DateObject[{2023, 1, 15, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",69628.,1059.,592.,436.
"DateObject[{2023, 1, 22, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",71270.,1071.,678.,583.
"DateObject[{2023, 1, 29, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",71549.,1293.,901.,856.
"DateObject[{2023, 2, 5, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",74676.,1586.,1091.,1040.
"DateObject[{2023, 2, 12, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",71717.,1607.,1111.,982.
"DateObject[{2023, 2, 19, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",73028.,1786.,1273.,566.
"DateObject[{2023, 2, 26, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",61006.,1389.,1000.,0.
"DateObject[{2023, 3, 5, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",22308.,588.,413.,0.
"DateObject[{2023, 3, 12, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",1903.,58.,38.,0.
